Titel;Beschreibung;Art;Bestand;Mindestbestand;Sollbestand;Losgröße;Datum;Letzte MTK;MTK Intervall;Letzte STK;STK Intervall;Inventarnummer;Seriennummer;UMDNS;Chargennummer;Lagerort
Kompressen 10 x 10 cm;;MedMat;;;;;01/12/2028;;;;;;;;28627256;Sanmaterial-Lager
Kompressen 7,5 x 7,5 cm;;MedMat;;;;;01/12/2017;;;;;;;;80-1190-1305;Sanmaterial-Lager
Augenkompresse;;MedMat;;;;;01/03/2017;;;;;;;;437000351A;Sanmaterial-Lager
Saugkompresse;;MedMat;;;;;01/06/2018;;;;;;;;121776;Sanmaterial-Lager
Verbandpäcken K;;MedMat;;;;;01/10/2016;;;;;;;;118358;Sanmaterial-Lager
Verbandpäcken M;;MedMat;;;;;01/12/2032;;;;;;;;126021120;Sanmaterial-Lager
Verbandpäcken M;;MedMat;;;;;01/12/2031;;;;;;;;116027841;Sanmaterial-Lager
Verbandpäcken M;;MedMat;;;;;01/12/2016;;;;;;;;48544;Sanmaterial-Lager
Verbandpäckchen G;;MedMat;;;;;01/12/2017;;;;;;;;122377;Sanmaterial-Lager
Verbandtuch 40 x 60;;MedMat;;;;;01/12/2033;;;;;;;;136026969;Sanmaterial-Lager
Verbandtuch 60 x 80;;MedMat;;;;;01/12/2017;;;;;;;;121462;Sanmaterial-Lager
Verbandtuch 80 x 120;;MedMat;;;;;01/06/2018;;;;;;;;122841;Sanmaterial-Lager
Verbandtuch 80 x 120;;MedMat;;;;;01/06/2029;;;;;;;;29619184;Sanmaterial-Lager
Verbandtuch Metaline 80x120;;MedMat;;;;;01/12/2031;;;;;;;;116022872;Sanmaterial-Lager
Verbandtuch Metaline 60x80;;MedMat;;;;;01/02/2028;;;;;;;;28626923;Sanmaterial-Lager
Verbandtuch Metaline 40x60;;MedMat;;;;;01/12/2028;;;;;;;;28628867;Sanmaterial-Lager
Flächenschürfverband;;MedMat;;;;;01/12/2031;;;;;;;;116025118;Sanmaterial-Lager
Ellenbogen & Knieverband;;MedMat;;;;;01/12/2031;;;;;;;;116025193;Sanmaterial-Lager
Mullbinden 6 cm;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Mullbinden 8 cm;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Mullbinden 10 cm;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Universalbind 8cm;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Kanülenfixierpflaster;;MedMat;;;;;01/06/2016;;;;;;;;118017;Sanmaterial-Lager
Venenverweilkanülen orange;;MedMat;;;;;01/01/2018;;;;;;;;3A23258251;Sanmaterial-Lager
Venenverweilkanüle rosa;;MedMat;;;;;01/02/2019;;;;;;;;4B04258252;Sanmaterial-Lager
Venenverweilkanüle rosa;;MedMat;;;;;01/12/2016;;;;;;;;1M01258346;Sanmaterial-Lager
Venenverweilkanüle rosa;;MedMat;;;;;01/01/2018;;;;;;;;3A19258271;Sanmaterial-Lager
Venenverweilkanüle rosa;;MedMat;;;;;01/02/2018;;;;;;;;3B15258272;Sanmaterial-Lager
Venenverweilkanüle weiß;;MedMat;;;;;01/06/2016;;;;;;;;1F26258237;Sanmaterial-Lager
Venenverweilkanüle blau;;MedMat;;;;;01/12/2018;;;;;;;;3M12258331;Sanmaterial-Lager
Venenverweilkanüle grün;;MedMat;;;;;01/10/2018;;;;;;;;3K31258349;Sanmaterial-Lager
Venenverweilkanüle gelb;;MedMat;;;;;01/07/2016;;;;;;;;1G26258330;Sanmaterial-Lager
Absaugkatheter grün;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Absaugkatheter schwarz;;MedMat;;;;;01/04/2018;;;;;;;;20130405;Sanmaterial-Lager
Absaugkatheter schwarz;;MedMat;;;;;01/12/2016;;;;;;;;120419;Sanmaterial-Lager
Absaugkatheter blau;;MedMat;;;;;01/04/2018;;;;;;;;20130405;Sanmaterial-Lager
Absaugkatheter blau;;MedMat;;;;;01/04/2016;;;;;;;;111919;Sanmaterial-Lager
Absaugkatheter organe;;MedMat;;;;;01/07/2018;;;;;;;;20130720;Sanmaterial-Lager
Schleimabsauger Neugeborene;;MedMat;;;;;01/12/2016;;;;;;;;05/2012/18;Sanmaterial-Lager
Fingertip;;MedMat;;;;;01/10/2017;;;;;;;;07.031.00.000;Sanmaterial-Lager
Skapell;;MedMat;;;;;01/05/2015;;;;;;;;10231635;Sanmaterial-Lager
Dreiwegehahn blau;;MedMat;;;;;01/10/2015;;;;;;;;2275336C58;Sanmaterial-Lager
Discofix (Verlängerung);;MedMat;;;;;01/09/2015;;;;;;;;12/0392049;Sanmaterial-Lager
Stopfen;;MedMat;;;;;01/11/2017;;;;;;;;32503122;Sanmaterial-Lager
Kanülen gelb;;MedMat;;;;;01/12/2017;;;;;;;;1301;Sanmaterial-Lager
Kanülen gelb;;MedMat;;;;;01/12/2017;;;;;;;;3023258821;Sanmaterial-Lager
Kanülen rosa;;MedMat;;;;;01/03/2017;;;;;;;;1204;Sanmaterial-Lager
Spritzen 2ml;;MedMat;;;;;01/01/2017;;;;;;;;1202;Sanmaterial-Lager
Spritzen 5ml;;MedMat;;;;;01/05/2017;;;;;;;;1206;Sanmaterial-Lager
Spritzen 10 ml;;MedMat;;;;;01/04/2017;;;;;;;;1205;Sanmaterial-Lager
Spritzen 20ml;;MedMat;;;;;01/03/2017;;;;;;;;1204;Sanmaterial-Lager
Kühlpacks;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Infusionsystem;;MedMat;;;;;01/01/2019;;;;;;;;4A30018301;Sanmaterial-Lager
Infusionsystem;;MedMat;;;;;01/06/2016;;;;;;;;84291111;Sanmaterial-Lager
Infusion Ringer;;MedMat;;;;;01/01/2019;;;;;;;;14Ha3301;Sanmaterial-Lager
Infusion Sterofundin;;MedMat;;;;;01/07/2017;;;;;;;;143518141;Sanmaterial-Lager
Handschuhe S;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Handschuhe M;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Handschuhe L;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Handschuhe XL;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Abwurf klein;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Abwurf klein;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Abwurf groß;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
FFP 3 Masken;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
FFP 2 Masken;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Händedesinfektion 100 ml;;MedMat;;;;;01/06/2018;;;;;;;;357737;Sanmaterial-Lager
Händedesinfektion 500 ml;;MedMat;;;;;01/03/2019;;;;;;;;368981;Sanmaterial-Lager
Händedesinfektion 500 ml;;MedMat;;;;;01/02/2018;;;;;;;;365527;Sanmaterial-Lager
Händedesinfektion klein - Virugard;;MedMat;;;;;01/12/2015;;;;;;;;351243;Sanmaterial-Lager
Händedesinfektion 500 ml - Virugard;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Hautdesinfektion klein;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Hautdesinfektion groß;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Sam Splint 18inch;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Sam Splint 36inch;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Fingerschiene 18x5 cm;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Rettungsdecke;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Dreiecktuch Stoff;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Dreiecktuch Vlies;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Beatmungsmaske Gr. 1;;MedMat;;;;;;;;;;;;;50680;Sanmaterial-Lager
Beatmungsmaskte Gr. 2;;MedMat;;;;;01/04/2017;;;;;;;;120427;Sanmaterial-Lager
Beatmungsmaskte Gr. 2;;MedMat;;;;;01/04/2016;;;;;;;;310410;Sanmaterial-Lager
Beatmungsmaskte Gr. 2;;MedMat;;;;;;;;;;;;;31212;Sanmaterial-Lager
Intersurgical Maske;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Beatmungsmaskte Gr. 0;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Beatmungsmaskte Gr. 1;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Beatmungsmaskte Gr. 2;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Beatmungsmaskte Gr. 3;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Beatmungsmaskte Gr. 4;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Beatmungsmaskte Gr.5;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Wundschnellverband classic 5mx8cm;;MedMat;;;;;01/04/2015;;;;;;;;;Sanmaterial-Lager
Wundschnellverband classic 5mx4 cm;;MedMat;;;;;01/07/2013;;;;;;;;;Sanmaterial-Lager
Wundschnellverband classic 5mx4 cm;;MedMat;;;;;01/07/2013;;;;;;;;;Sanmaterial-Lager
Wundschnellverband classic 5mx 6 cm;;MedMat;;;;;01/08/2014;;;;;;;;;Sanmaterial-Lager
Wundschnellverband classic 5mx 6 cm;;MedMat;;;;;01/08/2014;;;;;;;;;Sanmaterial-Lager
Sauerstfoffmaske Kind;;MedMat;;;;;01/06/2016;;;;;;;;110617;Sanmaterial-Lager
Verneblermaske Kind;;MedMat;;;;;01/05/2017;;;;;;;;120528;Sanmaterial-Lager
Sauerstfoffmaske Erw.;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Verneblermaske Erw.;;MedMat;;;;;01/05/2017;;;;;;;;120511;Sanmaterial-Lager
Nasenbrille;;MedMat;;;;;01/08/2016;;;;;;;;110819;Sanmaterial-Lager
Guedeltubs Gr. 12;;MedMat;;;;;01/11/2017;;;;;;;;31858942;Sanmaterial-Lager
Guedeltubs Gr. 10;;MedMat;;;;;01/05/2018;;;;;;;;31354661;Sanmaterial-Lager
Guedeltubs Gr. 9;;MedMat;;;;;01/05/2016;;;;;;;;31106944;Sanmaterial-Lager
Guedeltubs Gr. 9;;MedMat;;;;;01/07/2017;;;;;;;;;Sanmaterial-Lager
Guedeltubs Gr. 9;;MedMat;;;;;01/08/2018;;;;;;;;31356615;Sanmaterial-Lager
Guedeltubs Gr.8;;MedMat;;;;;01/05/2017;;;;;;;;31254064;Sanmaterial-Lager
Guedeltubs Gr.8;;MedMat;;;;;01/11/2013;;;;;;;;30811633;Sanmaterial-Lager
Guedeltubs Gr. 1;;MedMat;;;;;01/10/2018;;;;;;;;31359162;Sanmaterial-Lager
Guedeltubs Gr. 0;;MedMat;;;;;01/06/2018;;;;;;;;31355010;Sanmaterial-Lager
Guedeltubs Gr. 000;;MedMat;;;;;01/03/2015;;;;;;;;31003442;Sanmaterial-Lager
Guedeltubs Gr. 000;;MedMat;;;;;01/09/2017;;;;;;;;31257233;Sanmaterial-Lager
Venenstauer;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Blutzuckermessgeräte Disc;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Blutdruckmessgeräte;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Pinzette (steril);;MedMat;;;;;01/10/2018;;;;;;;;4505551203;Sanmaterial-Lager
Chirugische Schere (steril);;MedMat;;;;;01/01/2018;;;;;;;;51919409;Sanmaterial-Lager
Chirugische Schere (steril);;MedMat;;;;;01/01/2017;;;;;;;;51830144;Sanmaterial-Lager
 Klemme (steril);;MedMat;;;;;01/01/2018;;;;;;;;51917602;Sanmaterial-Lager
"""BZ-Nadeln"" ca";;MedMat;;;;;01/12/2013;;;;;;;;52G76C1;Sanmaterial-Lager
Einmalrasier;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Kotzschalen;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Kotztüten;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Becher;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Wasser still;;MedMat;;;;;01/02/2016;;;;;;;;;Sanmaterial-Lager
Patientenbeutel;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Stifneck Erwachsenen;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Stifneck Kind;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Baby Windel;;MedMat;;;;;01/06/2029;;;;;;;;29600274;Sanmaterial-Lager
Baby Rettungsdecke;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Nabelbinde;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Magensonde Ch 14;;MedMat;;;;;01/06/2017;;;;;;;;1207;Sanmaterial-Lager
Magensonde Ch. 16;;MedMat;;;;;01/04/2017;;;;;;;;1205;Sanmaterial-Lager
Magensonde Ch. 12;;MedMat;;;;;01/09/2014;;;;;;;;;Sanmaterial-Lager
Magensonde Ch. 08;;MedMat;;;;;01/10/2014;;;;;;;;;Sanmaterial-Lager
Magensonde Ch. 06;;MedMat;;;;;01/11/2014;;;;;;;;;Sanmaterial-Lager
Reserve System Absauge (Akku Wac) inkl Schlauch & Beutel;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Desinfektionsmittel Dismozor pur (Beutel);;MedMat;;;;;;;;;;;;;CHAB0325;Sanmaterial-Lager
Beatmungsbeutel ;;MedMat;;;;;;;;;;;;;1553648;Sanmaterial-Lager
Beatmungsbeutel ;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Papiertücher 250 Stück;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Batterien Mrico;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Batterien Baby;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Batterien Cell;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Stetoskop;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
How Sit (Toilette);;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Einmallacken;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Einmaldecken;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Stecklacken;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Zahnprotestenbeutel;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Medizid AF (1 Liter);;MedMat;;;;;01/10/2015;;;;;;;;432705;Sanmaterial-Lager
Co2-Adapter;;MedMat;;;;;01/08/2015;;;;;;;;122550232x;Sanmaterial-Lager
Verbandvlies;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Verbandzellstoff;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Netzverband Gr. 4;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Netzverband Gr. 3;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Hygienetücher ;;MedMat;;;;;01/10/2017;;;;;;;;342063;Sanmaterial-Lager
Hygienetücher ;;MedMat;;;;;01/02/2017;;;;;;;;305013;Sanmaterial-Lager
unsterile Kompresse ca.;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Vaseline;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Verbandmull 80 cm x 1m;;MedMat;;;;;;;;;;;;;314843;Sanmaterial-Lager
Fingerverbände 2x12xm ca.;;MedMat;;;;;;;;;;;;;13024187;Sanmaterial-Lager
Leukoplast 2,5 cm;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Leukosilk 1,25;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Netzschlauch Gr. 3;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Fieberthermometerhüllen (15 Stk);;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Fieberthermometerhüllen (12 Stk);;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Fingerstrips (10 Stk.);;MedMat;;;;;;;;;;;;;12061058;Sanmaterial-Lager
Mundspachtel (Holz);;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Tupfer;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Pflasterstrips DRK;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Sterilverband 40x53mm;;MedMat;;;;;01/07/2016;;;;;;;;;Sanmaterial-Lager
Wundschnellverband Abschnitte 10x6cm sensitiv;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Wundschnellverband Abschnitte 10x5cm sensitiv;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Zeckenzange;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Heidelberger Verlängerung ;;MedMat;;;;;01/05/2015;;;;;;;;1829;Sanmaterial-Lager
Baldur Silberwindel;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
OP-Handschuhe Gr. 8;;MedMat;;;;;01/07/2016;;;;;;;;148490811;Sanmaterial-Lager
OP-Handschuhe Gr. 9;;MedMat;;;;;01/04/2015;;;;;;;;112420510;Sanmaterial-Lager
OP-Handschuhe Gr. 8,5;;MedMat;;;;;01/08/2014;;;;;;;;1024685;Sanmaterial-Lager
OP-Handschuhe Gr. 7,5;;MedMat;;;;;01/07/2014;;;;;;;;1015475;Sanmaterial-Lager
Thomas Holder;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Fixierband Endotrachealtuben;;MedMat;;;;;;;;;;;;;;Sanmaterial-Lager
Führungsstab Gr. 6;;MedMat;;;;;01/02/2016;;;;;;;;11CE12;Sanmaterial-Lager
Führungsstab Gr. 14;;MedMat;;;;;01/06/2016;;;;;;;;11GE29;Sanmaterial-Lager
Endotracheltubus Gr. 3;;MedMat;;;;;01/03/2016;;;;;;;;;Sanmaterial-Lager
Endotracheltubus Gr. 4;;MedMat;;;;;01/04/2016;;;;;;;;;Sanmaterial-Lager
Endotracheltubus Gr. 5 mit Führungstab;;MedMat;;;;;01/10/2017;;;;;;;;;Sanmaterial-Lager
Endotracheltubus Gr. 5 mit Führungstab;;MedMat;;;;;01/04/2016;;;;;;;;;Sanmaterial-Lager
Endotracheltubus Gr. 6 mit Führungstab;;MedMat;;;;;01/06/2017;;;;;;;;;Sanmaterial-Lager
Endotracheltubus Gr. 6 mit Führungstab;;MedMat;;;;;01/03/2016;;;;;;;;;Sanmaterial-Lager
Endotracheltubus Gr. 7 mit Führungstab;;MedMat;;;;;01/04/2016;;;;;;;;;Sanmaterial-Lager
Endotracheltubus Gr. 7 mit Führungstab;;MedMat;;;;;01/10/2017;;;;;;;;;Sanmaterial-Lager
Endotracheltubus Gr. 8 mit Führungstab;;MedMat;;;;;01/04/2016;;;;;;;;;Sanmaterial-Lager
Endotracheltubus Gr. 9 mit Führungstab;;MedMat;;;;;01/03/2016;;;;;;;;;Sanmaterial-Lager
Endotracheltubus Gr. 9 mit Führungstab;;MedMat;;;;;01/11/2017;;;;;;;;;Sanmaterial-Lager
